,fsq_id,categorias,nome,lat,lon,endereco,cidade,bairro,cat_nome,cat_id,cat_sup
194,4f67bf0be4b01ce3063d556d,"[{'id': 17069, 'name': 'Grocery Store / Supermarket', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}}]",Supermercado Bampi,-30.035893,-51.161929,"Rua Dr Jorge Fayet, 779, Porto Alegre, RS, 91330-330",Porto Alegre,,Grocery Store / Supermarket,17069,Residences
195,4efb1b008231c11159b3e933,"[{'id': 11064, 'name': 'Hair Salon', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}}]",Nicholas Galvão Espaço de Beleza,-30.035294,-51.16532,"Avenida Teixeira Mendes, 568, Porto Alegre, RS, 91330-391",Porto Alegre,,Hair Salon,11064,Colleges & Universities
196,531e3f35498e344ad9cd40ec,"[{'id': 10000, 'name': 'Arts and Entertainment', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}]",Carol Dalmolin Estúdio de Dança,-30.035798,-51.164719,"Rua Carlos Huber, 67 (Rua João Bastian), Porto Alegre, RS, 91330-150",Porto Alegre,Três Figueiras,Arts and Entertainment,10000,Arts & Entertainment
197,4f60d2b2e4b071d8a24b65c2,"[{'id': 11010, 'name': 'Automotive Repair Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/automotive_', 'suffix': '.png'}}, {'id': 17011, 'name': 'Car Parts and Accessories', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/default_', 'suffix': '.png'}}]",Auto Mecânica Helmuth,-30.032676,-51.165462,"Avenida Teixeira Mendes, 830, Porto Alegre, RS, 91330-391",Porto Alegre,Chácara das Pedras,Automotive Repair Shop,11010,Colleges & Universities
198,4ed519c3f790888b5435c995,"[{'id': 11075, 'name': 'Tattoo Parlor', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/tattoos_', 'suffix': '.png'}}]",Heráclito Tattoo Studio,-30.040553,-51.22222,"Rua Alberto Torres, 224, Porto Alegre, RS, 90050-080",Porto Alegre,,Tattoo Parlor,11075,Colleges & Universities
199,519bdca55019f94fb8487ee9,"[{'id': 13027, 'name': 'Bistro', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13079, 'name': 'Brazilian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/argentinian_', 'suffix': '.png'}}, {'id': 13148, 'name': 'French Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/french_', 'suffix': '.png'}}]",Mandarinier Gastronomia,-30.040767,-51.222043,"Rua Alberto Torres, 228, Porto Alegre, RS, 90050-080",Porto Alegre,Cidade Baixa,Bistro,13027,Food
200,4e25a4b88877099df4c01fd9,"[{'id': 13034, 'name': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}}, {'id': 13084, 'name': 'Empada House', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/argentinian_', 'suffix': '.png'}}, {'id': 13089, 'name': 'Pastelaria', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/argentinian_', 'suffix': '.png'}}]",Cia das Empadas,-30.040511,-51.222715,"Rua José do Patrocínio, 649, Porto Alegre, RS, 90050-003",Porto Alegre,,Café,13034,Food
201,4d139e1340e65481a5bb981a,"[{'id': 11073, 'name': 'Spa', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/spa_', 'suffix': '.png'}}, {'id': 11074, 'name': 'Tanning Salon', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/tanning_salon_', 'suffix': '.png'}}]","Girrô Centro de Estética Facial, Corporal e Odonto",-30.039196,-51.221545,"Rua Luiz Afonso, 273 (Gal. Lima e Silva), Porto Alegre, RS, 90050-310",Porto Alegre,Cidade Baixa,Spa,11073,Colleges & Universities
202,54c8535a498ea37ad9835b38,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13034, 'name': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Café Cartum,-30.040478,-51.222776,"Rua José do Patrocinio, 637, Porto Alegre, RS, 90050-003",Porto Alegre,,Bar,13003,Food
203,4ff32cfde4b0d27dd5f64c2e,"[{'id': 11061, 'name': 'Health and Beauty Service', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}}]",Hapiness Studio,-30.040017,-51.223192,"Rua José do Patrocínio, 569, Porto Alegre, RS, 90050-002",Porto Alegre,,Health and Beauty Service,11061,Colleges & Universities
